token;tag;wordnet
5.gehitu;O;
olio;B-IN-FV;ili-30-07673397-n
eta;O;
jogurta;B-IN-M-AM;ili-30-07849336-n
,;O;
eta;O;
irabiatu;O;
,;O;
nahasketa;O;
homogeneo;O;
geratu;O;
*edin;O;
.;O;
limoi;B-IN-FV;ili-30-07749582-n
erdi;O;
larruazal;I-IN-FV;ili-30-07738353-n
txikitu;O;
eta;O;
gehitu;O;
*ezan;O;
.;O;
6.orain;O;
,;O;
koladore;B-E-U;ili-30-03066849-n
bat;O;
jarri;O;
bol;B-E-U;ili-30-02881193-n
gain;O;
,;O;
eta;O;
legami;B-IN-BP-AG;ili-30-14934031-n
eta;O;
irin;B-IN-BP-AG;ili-30-07569106-n
neurri;O;
gehitu;O;
,;O;
koladore;B-E-U;ili-30-03066849-n
pasatu;O;
*edin;O;
.;O;
prozesu;O;
hau;O;
bahetu;O;
deitu;O;
izan;O;
,;O;
eta;O;
osagai;O;
lehor;O;
hauek;O;
nahasketa;O;
gruma;O;
eta;O;
pilaketa;O;
gabe;O;
gehitu;O;
ahalbidetu;O;
*edun;O;
,;O;
dena;O;
ondo;O;
nahastu;O;
primeran;O;
etorri;O;
.;O;
nahastu;O;
guzti;O;
,;O;
osagai;O;
guzti;O;
ondo;O;
integratu;O;
izan;O;
*edin;O;
.;O;
7.sartu;O;
azenario;B-IN-FV;ili-30-12937678-n
birrindu;I-IN-FV;
,;O;
intxaur;B-IN-FV;ili-30-07771212-n
eta;O;
kanela;B-IN-FV;ili-30-07814203-n
hauts;I-IN-FV;
koilarakada;O;
,;O;
eta;O;
nahastu;O;
izan;O;
.;O;
8.molde;O;-
labe-papr;B-E-U;-
egin;O;
edo;O;
gurin;B-IN-M-AM;ili-30-07848338-n
pixka;O;
bat;O;
batu;O;
,;O;
oinarri;O;
eta;O;
horma;O;
busti;O;
,;O;
eta;O;
ore;B-IN-D-AG;ili-30-07860988-n
molde;O;
isuri;O;
.;O;
9.jar;O;
erretilu;B-E-U;ili-30-03963198-
labe;B-E-A;ili-30-03862676-n
,;O;
bat;O;
beste;O;
altuera;O;
,;O;
eta;O;
eduki;O;
180;O;
gradu;O;
tenperatura;O;
hori;O;
30-35;O;
minutu;O;
.;O;
denbora;O;
hori;O;
,;O;
horm;O;
ozta-ozta;O;
urreztatu;O;
izan;O;
,;O;
eta;O;
barrualde;O;
mamitsu;O;
izan;O;
izan;O;
egun;O;
batzuk;O;
gero;O;
ere;O;
.;O;
10.egin;O;
*ezan;O;
zotza;B-E-U;ili-30-04453390-n
proba;O;
:;O;
zotz;B-E-U;ili-30-04453390-n
bat;O;
klikatu;O;
bizkotxo;B-R;ili-30-07632037-n
,;O;
eta;O;
hondar;O;
itsatsi;O;
gabe;O;
atera;O;
izan;O;
,;O;
prest;O;
egon;O;
.;O;
itzal;O;
labe;O;
,;O;
ate;O;
bizkotxo;B-R;ili-30-07632037-n
eta;O;
utzi;O;
10-15;O;
minutu;O;
atseizan;O;
hartu;O;
,;O;
desmoldatu;O;
baino;O;
lehen;O;
.;O;
11.!;O;
plater;B-E-U;ili-30-03206908-n
jarri;O;
eta;O;
gozatu;O;
!;O;
errezeta;O;
:;O;
san;B-R;
blas;I-R;
opila;I-R;ili-30-07628870-n
san;B-R;
blas;I-R;
opila;I-R;ili-30-07628870-n
aski;O;
ezagun;O;
izan;O;
euskal;O;
herri;O;
hainbat;O;
herri;O;
";";O;
eibar;O;
sortu;O;
izan;O;
ere;O;
,;O;
elgeta;O;
,;O;
abadiño;O;
eta;O;
beste;O;
hainbat;O;
txon;O;
iritsi;O;
izan;O;
anis;B-IN-AB;ili-30-07908647-n
usain;O;
urte;O;
sasoi;O;
hau;O;
.;O;
e;O;
izan;O;
,;O;
ziur;O;
beste;O;
eremu;O;
asko;O;
herritar;O;
probatu;O;
ere;O;
ez;O;
*edun;O;
egin;O;
.;O;
jate;O;
gozo;O;
izan;O;
gain;O;
,;O;
apropos;O;
izan;O;
familia;O;
egin;O;
,;O;
eta;O;
gainera;O;
,;O;
nahi;O;
bezala;O;
dekoratu;O;
*ezan;O;
gu;O;
opil;B-R;ili-30-07628870-n
";";O;
baita;O;
geu;O;
izen;O;
jarri;O;
ere;O;
!;O;
osagaiai_bak;O;
:;O;
kilo;O;
bat;O;
irin;B-IN-BP-AG;ili-30-07569106-n
zazpi;O;
arrautza;B-IN-E-AE;ili-30-07840804-n
400;O;
gramo;O;
azukre;B-IN-SU;ili-30-07859284-n
250;O;
gramo;O;
azukre;B-IN-SU;ili-30-07859284-n
(;O;
glas;O;
erako;O;
);O;
150;O;
gramo;O;
gantz;B-IN-FO;ili-30-07672687-n
100;O;
gramo;O;
gurin;B-IN-M-AM;ili-30-07848338-n
legamia;B-IN-BP-AG;ili-30-14934031-n
sobre;O;
bat;O;
anis;B-IN-AB;ili-30-07908647-n
esentzia;I-IN-AB;
(;O;
5;O;
gramo;O;
);O;
nola;O;
egin;O;
?;O;
opil;B-R;ili-30-07628870-n
bi;O;
"&quot;";O;
zati;O;
"&quot;";O;
nagusi;O;
ukan;O;
:;O;
opil;B-R;ili-30-07628870-n
bera;O;
eta;O;
gain;O;
geruza;O;
zuri;O;
.;O;
opil;B-R;ili-30-07628870-n
egin;O;
,;O;
osagai;O;
guzti;O;
nahastu;O;
eta;O;
ore;B-IN-D-AG;ili-30-07860988-n
egin;O;
behar_izan;O;
*edun;O;
,;O;
baina;O;
kontuz;O;
!;O;
erabili;O;
behar_izan;O;
*edun;O;
arrautu;B-IN-E-AE;ili-30-07841037-n
bi;O;
zuringo;I-IN-E-AE;ili-30-07841037-n
eta;O;
glas;B-IN-SU;
_;O;
azukre;I-IN-SU;ili-30-07859284-n
gorde;O;
*edun;O;
gain;O;
geruza;O;
zuri;O;
egin;O;
.;O;
ore;B-IN-D;ili-30-07860988-n
prest;O;
*edun;O;
,;O;
nahi;O;
*edun;O;
forma;O;
eman;O;
*edun;O;
gu;O;
opilari;B-R;ili-30-07628870-n
eta;O;
180;O;
gradu;O;
jarri;O;
lab;B-E-A;ili-30-03862676-n
sartu;O;
*edun;O;
,;O;
urre;O;
kolore;O;
hartu;O;
*edun;O;
arte;O;
.;O;
opil;B-R;ili-30-07628870-n
lab;O;
