token;Amaia;Mikel;
oliba-olio;B-IN-FO;B-IN-FO;
(;O;O;
jogurt-neurri;O;B-IN-E-AE;
1;O;O;
);O;O;
.;O;O;
azken;O;O;
zapore;O;O;
olio;B-IN-FO;B-IN-FO;
hauteman;O;O;
gustatu;O;O;
izan;O;O;
,;O;O;
erabili;O;O;
zapore;O;O;
handi;O;O;
bat;O;O;
,;O;O;
baina;O;O;
diskretu;O;O;
izan;O;O;
nahi;O;O;
*edun;O;O;
,;O;O;
erabili;O;O;
zapore;O;O;
leuneko;O;O;
olio;B-IN-FO;B-IN-FO;
bat;O;O;
.;O;O;
legami;B-IN-BP-AG;B-IN-BP-AG;
hauts;I-IN-BP-AG;I-IN-BP-AG;
gutunazal;O;O;
1;O;O;
(;O;O;
16;O;O;
g;O;O;
);O;O;
.;O;O;
molde;B-E-U;B-E-U;
igurztu;O;O;
gurin;B-IN-M-AM;B-IN-FO;
.;O;O;
200;O;O;
g;O;O;
azenario;B-IN-FV;B-IN-FV;
.;O;O;
30;O;O;
g;O;O;
intxaur;B-IN-N-AN;B-IN-N-AN;
,;O;O;
txikitu;O;O;
.;O;O;
koilarakada;O;O;
bat;O;O;
kanela;B-IN-HS;B-IN-HS;
hauts;I-IN-HS;I-IN-HS;
.;O;O;
urratsez-urrats;O;O;
:;O;O;
1.!;O;O;
azenario;B-IN-FV;B-IN-FV;
eta;O;O;
arralalo;O;O;
garbitu;O;O;
.;O;O;
2.hustu;O;O;
jogurtatu;B-IN-M-AM;B-IN-M-AM;
bol;O;B-E-U;
txiki;O;O;
bat;O;O;
,;O;O;
ontzi;O;B-E-U;
hasiera-hasiera;O;O;
erabili;O;O;
ahal;O;O;
izan;O;O;
.;O;O;
3.aurrez;O;O;
berotu;O;O;
labe;B-E-A;B-E-A;
180º-;O;O;
masa;B-IN-D-AM;B-IN-D-AG;
egin;O;O;
gutxi;O;O;
gorabehera;O;O;
erabili;O;O;
*edun;O;O;
minutu;O;O;
hauek;O;O;
.;O;O;
4.bol;O;B-E-U;
handi;O;O;
bat;O;O;
,;O;O;
gehitu;O;O;
azukre;B-IN-SU;B-IN-SU;
eta;O;O;
arrautu;B-IN-E-AE;B-IN-E-AE;
bi;O;O;
neurri;O;O;
,;O;O;
eta;O;O;
zorrotxo;O;O;
sendo;O;O;
,;O;O;
hobe;O;O;
hagatxo;O;O;
edo;O;O;
koilara;O;B-E-U;
bat;O;O;
.;O;O;
5.gehitu;O;O;
olio;B-IN-FV;B-IN-FO;
eta;O;O;
jogurta;B-IN-M-AM;B-IN-E-AE;
,;O;O;
eta;O;O;
irabiatu;O;O;
,;O;O;
nahasketa;O;O;
homogeneo;O;O;
geratu;O;O;
*edin;O;O;
.;O;O;
limoi;B-IN-FV;B-IN-FV;
erdi;O;O;
larruazal;I-IN-FV;O;
txikitu;O;O;
eta;O;O;
gehitu;O;O;
*ezan;O;O;
.;O;O;
6.orain;O;O;
,;O;O;
koladore;B-E-U;B-E-U;
bat;O;O;
jarri;O;O;
bol;B-E-U;B-E-U;
gain;O;O;
,;O;O;
eta;O;O;
legami;B-IN-BP-AG;B-IN-BP-AG;
eta;O;O;
irin;B-IN-BP-AG;B-IN-D-AG;
neurri;O;O;
gehitu;O;O;
,;O;O;
koladore;B-E-U;B-E-U;
pasatu;O;O;
*edin;O;O;
.;O;O;
prozesu;O;O;
hau;O;O;
bahetu;O;O;
deitu;O;O;
izan;O;O;
,;O;O;
eta;O;O;
osagai;O;O;
lehor;O;O;
hauek;O;O;
nahasketa;O;O;
gruma;O;O;
eta;O;O;
pilaketa;O;O;
gabe;O;O;
gehitu;O;O;
ahalbidetu;O;O;
*edun;O;O;
,;O;O;
dena;O;O;
ondo;O;O;
nahastu;O;O;
primeran;O;O;
etorri;O;O;
.;O;O;
nahastu;O;O;
guzti;O;O;
,;O;O;
osagai;O;O;
guzti;O;O;
ondo;O;O;
integratu;O;O;
izan;O;O;
*edin;O;O;
.;O;O;
7.sartu;O;O;
azenario;B-IN-FV;B-IN-FV;
birrindu;I-IN-FV;O;
,;O;O;
intxaur;B-IN-FV;B-IN-N-AN;
eta;O;O;
kanela;B-IN-FV;B-IN-HS;
hauts;I-IN-FV;I-IN-HS;
koilarakada;O;O;
,;O;O;
eta;O;O;
nahastu;O;O;
izan;O;O;
.;O;O;
8.molde;O;B-E-U;
labe-papr;B-E-U;B-E-U;
egin;O;O;
edo;O;O;
gurin;B-IN-M-AM;B-IN-FO;
pixka;O;O;
bat;O;O;
batu;O;O;
,;O;O;
oinarri;O;O;
eta;O;O;
horma;O;O;
busti;O;O;
,;O;O;
eta;O;O;
ore;B-IN-D-AG;O;
molde;O;O;
isuri;O;O;
.;O;O;
9.jar;O;O;
erretilu;B-E-U;B-E-U;
labe;B-E-A;B-E-A;
,;O;O;
bat;O;O;
beste;O;O;
altuera;O;O;
,;O;O;
eta;O;O;
eduki;O;O;
180;O;O;
gradu;O;O;
tenperatura;O;O;
hori;O;O;
30-35;O;O;
minutu;O;O;
.;O;O;
denbora;O;O;
hori;O;O;
,;O;O;
horm;O;O;
ozta-ozta;O;O;
urreztatu;O;O;
izan;O;O;
,;O;O;
eta;O;O;
barrualde;O;O;
mamitsu;O;O;
izan;O;O;
izan;O;O;
egun;O;O;
batzuk;O;O;
gero;O;O;
ere;O;O;
.;O;O;
10.egin;O;O;
*ezan;O;O;
zotza;B-E-U;O;
proba;O;O;
:;O;O;
zotz;B-E-U;O;
bat;O;O;
klikatu;O;O;
bizkotxo;B-R;B-R;
,;O;O;
eta;O;O;
hondar;O;O;
itsatsi;O;O;
gabe;O;O;
atera;O;O;
izan;O;O;
,;O;O;
prest;O;O;
egon;O;O;
.;O;O;
itzal;O;O;
labe;O;B-E-A;
,;O;O;
ate;O;O;
bizkotxo;B-R;B-R;
eta;O;O;
utzi;O;O;
oct-15;O;O;
minutu;O;O;
atseizan;O;O;
hartu;O;O;
,;O;O;
desmoldatu;O;O;
baino;O;O;
lehen;O;O;
.;O;O;
11.!;O;O;
plater;B-E-U;B-E-U;
jarri;O;O;
eta;O;O;
gozatu;O;O;
!;O;O;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
