;Cristina;Gabriel;Maite
cuchillo;ili-30-03623556-n;ili-30-04380346-n;ili-30-03623556-n
y;;;
si;;;
estar;;;
seco;;;
,;;;
retirar;;;
y;;;
dejar;;;
enfriar;;;
por;;;
completo;;;
.;;;
Preparación;;;
de;;;
el;;;
cheesecake;ili-30-07630089-n;-;-
:;;;
colocar;;;
en;;;
uno;;;
cacerola;ili-30-03990474-n;ili-30-03990474-n;ili-30-04138977-n
el;;;
queso;ili-30-07850329-n;ili-30-07850329-n;ili-30-07850329-n
con;;;
el;;;
nata;ili-30-07848196-n;ili-30-07847198-n;ili-30-07848196-n
y;;;
él;;;
poner;;;
al;;;
fuego;;;
,;;;
temperatura;;;
medio;;;
.;;;
cuando;;;
estar;;;
líquido;;;
añadir;;;
el;;;
azúcar;ili-30-07859284-n;ili-30-07859284-n;ili-30-07859284-n
con;;;
el;;;
dulce;ili-30-07605804-n;ili-30-07605804-n;ili-30-07605804-n
de;-;-;-
leche;-;-;-
sin;;;
dejar;;;
de;;;
remover;;;
,;;;
cuidado;;;
de;;;
que;;;
no;;;
él;;;
quemir;;;
.;;;
Deshaz;;;
dos;;;
sobre;;;
de;;;
cuajada;ili-30-07850083-n;ili-30-07850083-n;ili-30-07849912-n
en;;;
medio;;;
vaso;ili-30-03438257-n;ili-30-13767239-n;
de;;;
leche;ili-30-07844042-n;ili-30-07844042-n;ili-30-07844042-n
.;;;
cuando;;;
todo;;;
estar;;;
homogéneo;;;
ser;;;
el;;;
momento;;;
de;;;
incorporar él;;;
,;;;
haber;;;
que;;;
llevar él;;;
a;;;
ebullición;;;
y;;;
dejar;;;
cocer;;;
uno;;;
minuto;;;
.;;;
después;;;
,;;;
podrar;;;
echar;;;
el;;;
cheesecake;ili-30-07630089-n;-;-
sobre;;;
el;;;
brownie;ili-30-07636271-n;-;ili-30-07636271-n
frío;;;
,;;;
con;;;
cuidado;;;
.;;;
dejar;;;
enfriar;;;
completamente;;;
.;;;
en;;;
el;;;
momento;;;
de;;;
servir;;;
poder;;;
decorar él;;;
con;;;
más;;;
dulce;ili-30-07605804-n;ili-30-07605804-n;ili-30-07605804-n
de;-;-;-
leche;-;-;-
,;;;
añadir;;;
uno;;;
fruto;-;ili-30-13136556-n;-
seco;-;-;-
o;;;
uno;;;
hilo;;;
de;;;
chocolate;ili-30-07601999-n;ili-30-07603722-n;ili-30-07601999-n
.;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
